,EAN,amount,brand,capacity,category,description,extras,image_url,ingredients,origin,price,seller,storage,title,url,weight
13, 5904215922056, 300 ml             ,Gomar Pińczów, 300 ml             ,napoje, ,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/1774.jpg'],,,,Swiadome zakupy,,Nektar z aronii,"http://www.swiadomezakupy.pl/products/view/1745
",
14, 5900497600330, 330 ml             ,Lipton, 330 ml             ,napoje, ,"{'nutritional': '', 'package': ' puszka aluminiowa \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/5492.jpg'],,,,Swiadome zakupy,,ICE TEA Lemon Napój niegazowany,"http://www.swiadomezakupy.pl/products/view/5439
",
15, 5904215923251," 0,3 l             ",Gomar Pińczów," 0,3 l             ",napoje, ,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/1714.jpg'],,,,Swiadome zakupy,,Sok  marchw.-brzoskwiniowo-jabłkowy     Michaś,"http://www.swiadomezakupy.pl/products/view/1685
",
16,, 1 l             ,Fortuna, 1 l             ,napoje,"koncentrat i przecier z pomidorów (100%), woda, sól, kwas cytrynowy - 
regulator kwasowości, papryka ostra czerwona, naturalny aromat Tabasco.							","{'nutritional': '', 'package': ' karton \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/291.png'],,,,Swiadome zakupy,,sok 100% pomidorowy z tabasco 1L,"http://www.swiadomezakupy.pl/products/view/300
",
17, 5449000011527, 330 ml             ,Coca Cola, 330 ml             ,napoje,"Skład: Woda, A-cukier i/lub B-syrop glukozowo-fruktozowy (patrz kod na 
spodzie puszki) lub (patrz kod na szyjce butelki lub  na etykiecie), sok
 pomarańczowy z soku zagęszczonego (3%), ekstrakt pomarańczowy, 
dwutlenek węgla, regulator kwasowości kwas cytrynowy, aromaty, 
przeciwutleniacz kwas askorbinowy, stabilizator guma guar, barwnik 
mieszanina karotenów. Bez dodatku substancji konserwujących.","{'nutritional': '\n                        Każda porcja 250 ml zawiera 113 kcal, 6 % GDA*\n                      , ', 'package': ' puszka metalowa \xa0\xa0          '}","['http://www.swiadomezakupy.pl/uploads/products/940/1600.jpg', 'http://www.swiadomezakupy.pl/uploads/products/940/1599.jpg']",,,,Swiadome zakupy,,Fanta Pomarańczowa Napój gazowany ,"http://www.swiadomezakupy.pl/products/view/1585
",
18, 5900497600507, 500 ml             ,Lipton, 500 ml             ,napoje,"<h3 id=""skladniki"">Składniki</h3>","{'nutritional': '', 'package': ' butelka z tworzywa sztucznego \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/5514.jpg'],,,,Swiadome zakupy,,ICE TEA Lemon Napój niegazowany,"http://www.swiadomezakupy.pl/products/view/5462
",
19,, 1 l             ,Fortuna, 1 l             ,napoje,"soki odtworzone z soków zagęszczonych i przeciery z: winogron, marchwi 
25%, jabłek 23%, brzoskwiń 21%, cytryn, woda, witamina C i witamina E - 
substancje wzbogacające, aromat.							","{'nutritional': '', 'package': ' karton \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/304.png'],,,,Swiadome zakupy,,marchew jabłko brzoskwinia 1L Karotka,"http://www.swiadomezakupy.pl/products/view/313
",
20, 5903263527091, 1 l             ,MIX Kwidzyn, 1 l             ,napoje,<strong>Napój z czarnej porzeczki</strong>,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/1488.png'],,,,Swiadome zakupy,,Napój z czarnej porzeczki Dzień i Noc,"http://www.swiadomezakupy.pl/products/view/1487
",
21,, 250 ml             ,Fortuna, 250 ml             ,napoje,"soki odtworzone z soków zagęszczonych i przeciery z: jabłek 41%, 
winogron, marchwi 27%, cytryn, woda, witamina C i witamina E - 
substancje wzbogacające, aromat.							","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/301.png'],,,,Swiadome zakupy,,marchew jabłko 250ml Karotka,"http://www.swiadomezakupy.pl/products/view/310
",
22, 5904215922049, 300 ml             ,Gomar Pińczów, 300 ml             ,napoje, ,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/1775.jpg'],,,,Swiadome zakupy,,Nektar wiśniowy,"http://www.swiadomezakupy.pl/products/view/1746
",
23, 5902078004803, 330 gram             ,Cisowianka, 330 gram             ,napoje, ,"{'nutritional': '', 'package': ' puszka aluminiowa \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/5290.jpg'],,,,Swiadome zakupy,,Perlage Naturalna woda mineralna gazowana,"http://www.swiadomezakupy.pl/products/view/5236
",
24,, 300 ml             ,Tarczyn, 300 ml             ,napoje,"woda, sok śliwkowy odtworzony z zagęszczonego soku śliwkowego, cukier 
(A), i/lub syrop glukozowo-fruktozowy (B), kwas cytrynowy - regulator 
kwasowości, naturalny aromat śliwkowy, A, B - w zależności od użytych 
składników, nadruk na butelce z etykietą.							","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/238.png'],,,,Swiadome zakupy,,śliwka 300ml,"http://www.swiadomezakupy.pl/products/view/246
",
25,, 1 l             ,Fortuna, 1 l             ,napoje,sok z białych grejpfrutów odtworzony z zagęszczonego soku z białych grejpfrutów.							,"{'nutritional': '', 'package': ' karton \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/275.png'],,,,Swiadome zakupy,,sok 100% z białych grejpfrutów 1L,"http://www.swiadomezakupy.pl/products/view/284
",
26, 5902078000201," 1,5 l             ",Cisowianka," 1,5 l             ",napoje,"<span itemprop=""description"">odpowiednia dla diety ubogiej w sód</span>","{'nutritional': '', 'package': ' butelka z tworzywa sztucznego \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/5280.jpg'],,,,Swiadome zakupy,,Naturalna niegazowana woda mineralna ,"http://www.swiadomezakupy.pl/products/view/5226
",
27,, 300 ml             ,Tarczyn, 300 ml             ,napoje,"woda, sok jabłkowy odtworzony z zagęszczonego soku jabłkowego (20%), 
cukier (A) i/lub syrop glukozowo-fruktozowy (B), kwas cytrynowy - 
regulator kwasowości, karmel- barwnik, aromat miętowy, aromat, 
substancje słodzące: E-950, E-952, E-954.							","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/243.png'],,,,Swiadome zakupy,,jabłko mięta ogrodowa 300ml,"http://www.swiadomezakupy.pl/products/view/251
",
