,EAN,amount,brand,capacity,category,description,extras,image_url,ingredients,origin,price,seller,storage,title,url,weight
12,," 0,5 l             ",Ciechan," 0,5 l             ",alkohol,"Piwo zawiera 11% ekstraktu oraz 3,2% alkoholu objętościowo. Ciechan Maciejowe jest pasteryzowane i dosładzane.							","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/1476.png'],,,,Swiadome zakupy,,Piwo CIECHAN MACIEJOWE,"http://www.swiadomezakupy.pl/products/view/1475
",
13, 5901359332031, 500 ml             ,Redds, 500 ml             ,alkohol,"4,5% alk","{'nutritional': '', 'package': ' puszka aluminiowa \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/3286.jpg'],,,,Swiadome zakupy,,Piwo o smaku malinowym w puszce,"http://www.swiadomezakupy.pl/products/view/3257
",
14,," 0,3 l             ",Krajan," 0,3 l             ",alkohol,"Nakel to prawdziwe niepasteryzowane piwo wyjątkowe i niepowtarzalne, o ekstrakcie wagowym 14,1 ºBlg i alc.7 %.							","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/1469.png'],,,,Swiadome zakupy,,Piwo Nakiel,"http://www.swiadomezakupy.pl/products/view/1467
",
15, 3185370000335, 750 ml             ,MOET & CHANDON, 750 ml             ,alkohol,<h4>Szczegóły</h4>,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4163.jpg'],,,,Swiadome zakupy,,Szampan Brut Imperial,"http://www.swiadomezakupy.pl/products/view/4136
",
16, 8000570552505, 750 ml             ,Martini , 750 ml             ,alkohol,<h4>Szczegóły</h4>,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4172.jpg'],,,,Swiadome zakupy,,Prosecco Wino musujące białe wytrawne,"http://www.swiadomezakupy.pl/products/view/4145
",
17, 5906591001196, 500 ml             ,Amber, 500 ml             ,alkohol,"
","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/590.jpg'],,,,Swiadome zakupy,,piwo Amber Naturalny ,"http://www.swiadomezakupy.pl/products/view/606
",
18,, 500 ml             ,Amber, 500 ml             ,alkohol,"Składniki 	woda, słód pszeniczny, słód jęczmienny, chmiel, drożdże
Metoda warzenia 	górna fermentacja
Pasteryzacja 	tak
Styl 	pszeniczne
Kolor 	jasny, słomkowy
Termin przydatności do spożycia       	180 dni
Ekstrakt 	12,1%
Zawartość alkoholu 	5,2%							","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/579.jpg'],,,,Swiadome zakupy,,Przeniczniak,"http://www.swiadomezakupy.pl/products/view/593
",
19,, 1 l             ,Jantoń, 1 l             ,alkohol,"<div class=""offer_data"">
<div class=""offer_data_item"">
<div class=""ofer_data_name"">Smak:półsłodkie/białe
            </div></div>
<div class=""offer_data_item"">
<div class=""ofer_data_name"">Zawartość alkoholu:10,5%
            </div></div>
</div>","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/1297.jpg'],,,,Swiadome zakupy,,wino Imiglykos- białe półsłodkie,"http://www.swiadomezakupy.pl/products/view/1289
",
20,," 0,5 l             ",Kormoran Browar," 0,5 l             ",alkohol,"Składniki: Woda, słód jęczmienny, naturalny sok wiśniowy, cukier, chmiel, aromat naturalny","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/1438.jpg'],,,,Swiadome zakupy,,Piwo Wiśnia w Piwie,"http://www.swiadomezakupy.pl/products/view/1435
",
21, 8594404110127, 330 ml             ,PILSNER URQUELL, 330 ml             ,alkohol,"4,4% alk							","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/3302.jpg'],,,,Swiadome zakupy,,PILSNER URQUELL Piwo jasne,"http://www.swiadomezakupy.pl/products/view/3273
",
22, 4062400115483, 700 ml             ,Sierra, 700 ml             ,alkohol,"Tequila Sierra jest alkoholem powstającym podczas fermentacji destylatu 
słodkiego soku zawartego we włóknach owocu niebieskiej agawy i innych 
cukrów. Miejscem produkcji jest sławny stan Jalisco - miasto Tequila, w 
którym już od ponad 200 lat produkuje się najwyższej jakości 
tequilę.Zawartość alkoholu: 38%							","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4529.jpg'],,,,Swiadome zakupy,,Tequila,"http://www.swiadomezakupy.pl/products/view/4503
",
23, 3700485100321, 700 ml             ,A. DE FUSSIGNY, 700 ml             ,alkohol,"Champagne i Grande Champagne, zawierająca co najmniej 50% Grande Champagne to trunek z najwyższej półki.","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4321.jpg'],,,,Swiadome zakupy,,Koniak,"http://www.swiadomezakupy.pl/products/view/4292
",
24,," 0,5 l             ",Krajan," 0,5 l             ",alkohol,"Ciemne, mocne piwo o ekstrakcie wagowym 14 Blg, i alc. 6% obj.							","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/1454.png'],,,,Swiadome zakupy,,Piwo Irlandzkie Mocne,"http://www.swiadomezakupy.pl/products/view/1452
",
25, 3185370000397, 750 ml             ,MOET & CHANDON, 750 ml             ,alkohol,<h4>Szczegóły</h4>,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4160.jpg'],,,,Swiadome zakupy,,Szampan,"http://www.swiadomezakupy.pl/products/view/4133
",
