EAN,amount,brand,capacity,category,description,extras,image_url,ingredients,origin,price,seller,storage,title,url,weight
,"0,3 l",,,"Napoje > Soki, nektary i syropy > Soki świeże","Soki powstałe z rodzinnej pasji do naturalnego smaku owoców i warzyw. Tłoczenie zapewnia bogactwo naturalnych składników z owoców i warzyw. Pasteryzacja gwarantuje bezpieczeństwo. Dodanie przecieru do soku czyni gęstą i kremową konsystencja smufi, dzięki czemu sok  jest pożywną przekąską. Pasteryzacja gwarantuje bezpieczeństwo konsumenta i wydłuża termin spożycia.",,https://www.carrefour.pl/images/product/350x350/smufi-100-z-dyni-i-jablka-300-ml-p185m9.jpg,"przecier z dyni 50%, sok z jabłek 50%, witamina C.
<br><br>Oznakowanie alergenów: wielkimi literami",,3.99,Carrefour,Przechowywać w temperaturze od 0°C do +20°C.,Smufi 100% z dyni i jabłka 300 ml,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/soki-swieze/smufi-100-z-dyni-i-jablka-300-ml,
,"0,25 l",,,"Napoje > Soki, nektary i syropy > Soki świeże","Soki są w 100% naturalne, produkowane wyłącznie z dojrzałych świeżych owoców, bez dodatków konserwantów, bez dodatku wody, cukru, bez sztucznych barwników czy jakichkolwiek polepszaczy. Świeże jabłka wykorzystane do produkcji soków, są wyjątkowe pod względem swoich walorów smakowych oraz ich jakości, ponieważ pochodzą z Polski. Aby przedłużyć okres przydatności do spożycia soków Marcus Fresh stosujemy najnowocześniejszą technologię HPP (proces wysokiego ciśnienia strumieniem zimnej wody na zewnątrz opakowania) co oznacza, że sok nie jest podgrzewany, sterylizowany czy pasteryzowany.
W wyniku tego procesu sok zachowuje 95% swoich wartości odżywczych i wszystkich witamin przy jednoczesnym wydłużonym terminie do spożycia. Dzięki technologii HPP sok zachowuje naturalny smak i kolor świeżo wyciśniętych owoców. Nasze opakowania plastikowe są wytwarzane z surowca rPET - w 50% pochodzą z recyklingu.",,https://www.carrefour.pl/images/product/350x350/sok-swieze-pomarancze-250-ml-288val.jpg,"pomarańcze 100%.
<br><br>Oznakowanie alergenów: wielkimi literami",,5.99,Carrefour,Należy przechowywać w temperaturze od 0°C do +8°C.<br>Po otwarciu butelki należy spożyć w ciągu 48h.,Sok świeże pomarańcze 250 ml,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/soki-swieze/sok-swieze-pomarancze-250-ml,
,"0,034 kg",,,"Napoje > Kawy, herbaty, kakao > Herbaty","Saga Owocowa ma pyszny, świeży smak owoców. Po zaparzeniu uwalnia się piękny, głęboki kolor, a nad szklanką unosi się intensywnie owocowy zapach!",,https://www.carrefour.pl/images/product/350x350/saga-herbatka-owocowa-o-smaku-pomarancza-34-g-20-torebek-efs1su.jpg,"hibiskus biały (27%), hibiskus czerwony (20,9%), jabłko, lukrecja, aromat, skórka pomarańczy (4,5%), czerwonokrzew afrykański (rooibos)
",,5.69,Carrefour,Przechowywać w suchym i ciemnym miejscu.,Saga Herbatka owocowa o smaku pomarańcza 34 g (20 torebek),https://www.carrefour.pl:443/napoje/kawy-herbaty-kakao/herbaty-h8/saga-herbatka-owocowa-o-smaku-pomarancza-34-g-20-torebek,
,1 l,,,"Napoje > Soki, nektary i syropy > Owocowe","Czy wiesz, że...
Fortuna Pomarańcza ma wysoką zawartość witaminy C z pomarańczy i aceroli. Witamina C wspomaga odporność.

Aby mieć dobre zdrowie, trzeba dbać o nie regularnie, prowadzić zdrowy tryb życia i odżywiać się w sposób zrównoważony.",,https://www.carrefour.pl/images/product/350x350/fortuna-odpornosc-pomarancza-sok-100-1-l-e8huvo.jpg,"sok pomarańczowy z zagęszczonego soku pomarańczowego (99,6%), sok z aceroli z zagęszczonego soku z aceroli (0,4%)
",,5.49,Carrefour,Po otwarciu przechowywać w temperaturze około +4°C nie dłużej niż 48 godzin.,Fortuna Odporność Pomarańcza Sok 100% 1 l,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/owocowe-p6/fortuna-odpornosc-pomarancza-sok-100-1-l,
,2 l,,,"Napoje > Soki, nektary i syropy > Multiwitamina i wielosmakowe","Kultowe napoje Tymbark to połączenie smaku i orzeźwienia, które od lat wnoszą do życia radość, humor i pozytywne myślenie! Dobre wróżby spod kapsla nie tylko wywołują uśmiech, ale też dodają odwagi, pocieszają i motywują do działania. Różnorodne połączenia owoców nie pozwalają się nudzić! Oprócz znanych i lubianych smaków, takich jak kultowe jabłko - mięta i jabłko - wiśnia, stale dostarczamy nowych, zaskakujących kompozycji.

- powstają na bazie naturalnego soku
- nie zawierają konserwantów
- nie zawierają substancji zagęszczających i stabilizatorów

Orzeźwiające połączenie mango i mięty to niesamowite połączenie wśród napojów Tymbark. Przyjemnie schłodzony napój gasi pragnienie nawet w upalne dni.",,https://www.carrefour.pl/images/product/350x350/tymbark-napoj-mango-mieta-2-l-j8ain7.jpg,"woda, sok jabłkowy z zagęszczonego soku (19%), syrop glukozowo-fruktozowy (G) i/lub cukier (D), sok z mango z zagęszczonego soku (1%), regulator kwasowości - kwas cytrynowy, przeciwutleniacz - kwas askorbinowy, ekstrakt z mięty, barwnik - karoteny, stabilizatory: guma arabska, estry glicerolu i żywicy roślinnej, aromat, D, G - w zależności od użytego składnika: patrz nadruk w górnej części opakowania
",,3.89,Carrefour,Chronić przed światłem. Po otwarciu przechowywać w lodówce nie dłużej niż 48 godz.,Tymbark Napój mango mięta 2 l,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/multiwitamina-i-wielosmakowe/tymbark-napoj-mango-mieta-2-l,
,1 l,,,"Napoje > Soki, nektary i syropy > Owocowe","Aby mieć dobre zdrowie, trzeba dbać o nie regularnie, prowadzić zdrowy tryb życia i odżywiać się w sposób zrównoważony.

Witaminy C i E pomagają w ochronie komórek przed stresem oksydacyjnym.",,https://www.carrefour.pl/images/product/350x350/sonda-napoj-antyoksydacja-czarna-porzeczka-zurawina-1-l-ad01ii.jpg,"woda, soki z soków zagęszczonych (20%) z: czarnych porzeczek (19%) i żurawiny (1%), cukier (A) i/lub syrop glukozowo-fruktozowy (B), regulator kwasowości - kwas cytrynowy, substancje wzbogacające - witamina C i witamina E, aromaty, A, B - w zależności od użytych składników, patrz nadruk na butelce nad etykietą, Zawartość owoców minimum 20%
",,4.99,Carrefour,Chronić przed działaniem promieni słonecznych. Po otwarciu przechowywać w lodówce nie dłużej niż 48 godzin.,Fortuna Napój antyoksydacja czarna porzeczka + żurawina 1 l,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/owocowe-p6/fortuna-napoj-antyoksydacja-czarna-porzeczka-zurawina-1-l,
,"0,555 l",,,Napoje > Napoje gazowane i niegazowane > Dla sportowców,"- 56%* Selen
Pomaga zachować zdrowe włosy i paznokcie.
- 56%* Cynk
Pomaga zachować zdrową skórę.
- 56%* Witamina A
Pomaga w prawidłowym funkcjonowaniu układu odpornościowego.

*% dziennej referencyjnej wartości spożycia dla osoby dorosłej / 555 ml",,https://www.carrefour.pl/images/product/350x350/oshee-vitamin-water-beauty-napoj-niegazowany-o-smaku-lawendowym-555-ml-9o5m1p.jpg,"woda, cukier, sok cytrynowy z zagęszczonego soku cytrynowego, naturalny aromat lawendowy z innymi naturalnymi aromatami, substancje wzbogacające: witaminy (niacyna, witamina B6, witamina B12, biotyna, witamina A), składniki mineralne: cynk, selen
",,3.09,Carrefour,Przechowywać w suchym i chłodnym miejscu. Chronić przed działaniem promieni słonecznych. Po otwarciu przechowywać w lodówce i spożyć w ciągu 24 godzin.,Oshee Vitamin Water Beauty Napój niegazowany o smaku lawendowym 555 ml,https://www.carrefour.pl:443/napoje/napoje-gazowane-i-niegazowane/dla-sportowcow/oshee-vitamin-water-beauty-napoj-niegazowany-o-smaku-lawendowym-555-ml,
,"0,2 l",,,"Napoje > Soki, nektary i syropy > Soki świeże","Witaminy i minerały znajdujące się zarówno w borówce jak i w truskawce występują w tym soku równocześnie, przez co jest to bardzo wysoce pożądany produkt w celu zapewnienia odpowiedniego poziomu witamin w naszym organizmie. Niepowtarzalny smak który zapewni orzeźwienie to doskonałe dopełnienie ciężkiego dnia lub jego początek.
Stopień kwasowości: słodko – kwaśny.
Źródło naturalnego błonnika z owoców, porcja zawiera 72 mg antocyjanów.",,https://www.carrefour.pl/images/product/350x350/sok-przecierowy-borowka-amerykanska---truskawka-etqder.jpg,"Borówka Amerykańska 50%, Truskawka 50%.
<br><br>Oznakowanie alergenów: wielkimi literami",,5.99,Carrefour,,Sok Przecierowy Borówka Amerykańska - Truskawka,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/soki-swieze/sok-przecierowy-borowka-amerykanska---truskawka,
,"0,07 kg",,,"Napoje > Kawy, herbaty, kakao > Kawy",To aromatyczna kawa o miękkiej teksturze i delikatnej nucie karmelu.,,https://www.carrefour.pl/images/product/350x350/tchibo-cafissimo-espresso-el-salvador-kawa-palona-mielona-70-g-10-x-7-g-6i7dpk.jpg,,,20.19,Carrefour,"Przechowywać w chłodnym, suchym i ciemnym miejscu.",Tchibo Cafissimo Espresso El Salvador Kawa palona mielona w kapsułkach 70 g (10 x 7 g),https://www.carrefour.pl:443/napoje/kawy-herbaty-kakao/kawy-5u/tchibo-cafissimo-espresso-el-salvador-kawa-palona-mielona-w-kapsulkach-70-g-10-x-7-g,
,1 l,,,"Napoje > Soki, nektary i syropy > Do kieszeni","Jabłko, marchew, Brzoskwinia - Aksamitna kompozycja marchewek, jabłek i brzoskwiń.
100% owoców i marchewek.
Gęsty przecierowy sok, bez dodatku cukru, który zaspokoi głód i sprawdzi się jako zdrowa przekąska miedzy posiłkami.
Produkt bez konserwantów dostępny w wygodnej, lekkiej i bezpiecznej plastikowej butelce o pojemności 1,0 L.

1 l produktu uzyskano średnio z:
1 i 1/4 brzoskwini + 2 i 1/2 marchewek + 4 jabłek",,https://www.carrefour.pl/images/product/350x350/hortex-leon-sok-jablko-marchew-brzoskwinia-1-l-9a8smg.jpg,"sok jabłkowy (53%) z soku zagęszczonego, przeciery: marchwiowy (25%), brzoskwiniowy (17%) z zagęszczonego przecieru, jabłkowy (5%), aromat, witamina C
",,3.99,Carrefour,"Przechowywać w suchym i chłodnym miejscu. Po otwarciu przechowywać w lodówce i spożyć w ciągu 2 dni. Niewłaściwe przechowywanie produktu, szczególnie po otwarciu może spowodować wzrost ciśnienia wewnątrz butelki.",Hortex Leon Sok jabłko marchew brzoskwinia 1 l,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/do-kieszeni/hortex-leon-sok-jablko-marchew-brzoskwinia-1-l,
,"0,5 l",,,"Napoje > Soki, nektary i syropy > Owocowo-warzywne","To dla nas bardzo ważne, aby Drugie Śniadanie było pożywnym, szybkim i prostym posiłkiem. Przygotowując je, korzystaliśmy wyłącznie ze starannie wyselekcjonowanych składników.

Gratka dla wielbicieli niestandardowych połączeń smakowych - słodki burak w asyście kremowej śmietany z dodatkiem ostrego chrzanu. Po prostu mniam!",,https://www.carrefour.pl/images/product/350x350/drugie-sniadanie-plynna-przekaska-burak-smietana-chrzan-500-ml-bag2ch.jpg,"woda, buraki (33%), pietruszka, marchew, ziemniaki, śmietana (z <span style='font-weight: bold;'>mleka</span>) (3,5%), <span style='font-weight: bold;'>seler</span>, chrzan (1%), sól, oliwa z oliwek (0,5%), przyprawy, koncentrat soku z cytryny, czosnek, imbir, zioła
",,5.99,Carrefour,Przechowywać w suchym i chłodnym miejscu. Po otwarciu przechowywać w lodówce i spożyć w ciągu 48 godzin.,Drugie śniadanie Płynna przekąska burak śmietana chrzan 500 ml,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/owocowowarzywne/drugie-sniadanie-plynna-przekaska-burak-smietana-chrzan-500-ml,
,"0,184 kg",,,"Napoje > Kawy, herbaty, kakao > Kawy",,,https://www.carrefour.pl/images/product/350x350/tassimo-jacobs-espresso-classico-kawa-mielona-1184-g-16-kapsulek-8sel7s.jpg,,,21.89,Carrefour,Przechowywać w chłodnym i suchym miejscu.,"Tassimo Jacobs Espresso Classico Kawa mielona 118,4 g (16 kapsułek)",https://www.carrefour.pl:443/napoje/kawy-herbaty-kakao/kawy-5u/tassimo-jacobs-espresso-classico-kawa-mielona-1184-g-16-kapsulek,
,1 l,,,"Napoje > Soki, nektary i syropy > Owocowe",Doskonały smak aksamitnych brzoskwiń i polskich jabłek połączony w orzeźwiającym napoju Hortex.,,https://www.carrefour.pl/images/product/350x350/hortex-napoj-jablko-brzoskwinia-1-l-e08bc8.jpg,"woda, soki z soków zagęszczonych: jabłkowy (10%), brzoskwiniowy (10%), cukier, aromaty, regulator kwasowości: kwas cytrynowy, substancja słodząca: glikozydy stewiolowe, Glikozydy stewiolowe pochodzą z liści stewii - słodycz z naturalnego źródła
",,2.29,Carrefour,Przechowywać w suchym i chłodnym miejscu. Po otwarciu przechowywać w lodówce i spożyć w ciągu 2 dni.,Hortex Napój jabłko brzoskwinia 1 l,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/owocowe-p6/hortex-napoj-jablko-brzoskwinia-1-l,
,"0,1 kg",,,"Napoje > Kawy, herbaty, kakao > Kawy",,,https://www.carrefour.pl/images/product/350x350/montmartre-gold-kawa-rozpuszczalna-liofilizowana-100-g-98u6sd.jpg,,,7.79,Carrefour,Przechowywać w szczelnie zamkniętym opakowaniu w suchym i chłodnym miejscu.,Montmartre Gold Kawa rozpuszczalna liofilizowana 100 g,https://www.carrefour.pl:443/napoje/kawy-herbaty-kakao/kawy-5u/montmartre-gold-kawa-rozpuszczalna-liofilizowana-100-g,
