EAN,amount,brand,capacity,category,description,extras,image_url,ingredients,origin,price,seller,storage,title,url,weight,
5900635000206,"0,75 l",Nałęczowianka,"0,75 l","Napoje > Woda > Woda niegazowana > Pojemność do 1,5L","Nałęczowianka Sport Naturalna woda mineralna niegazowana 0,75 l Niegazowana woda Nałęczowianka to najwyższej jakości, niskosodowa woda mineralna, która jest pozyskiwana z otworu „Nałęczowianka” w Nałęczowie. Charakterystyczna kompozycja 7 minerałów Nałęczowianki (650 mg/l) oraz niska zawartość sodu sprawia, że może być pita codziennie. W 1817 roku po raz pierwszy przeprowadzono analizę wód nałęczowskich. Dziś, 200 lat później, Nałęczowianka odznacza się wysoką jakością, regularnie potwierdzaną badaniami. Dostępna w formacie 0,5 l; 0,75 l; 1 l i 1,5 l. 
 
Odpowiednia dla diety ubogiej w sód. Poddawana procesowi napowietrzania i filtracji. Otwór Nałęczowianka w Nałęczowie. Nadające się do recyklingu",,https://www.leclerc.rzeszow.pl/resize.php?pic=151/5900635000206_T1.jpg&x=500&y=400,,,1.69,Leclerc Rzeszów,"Przechowywać w suchym, chłodnym, zacienionym, wolnym od obcych zapachów miejscu. Chronić przed przemrożeniem.","Nałęczowianka Sport Naturalna woda mineralna niegazowana 0,75 l",https://www.leclerc.rzeszow.pl/naleczowianka-sport-naturalna-woda-mineralna-niegazowana-075-l-produkt-10193.html,"Waga netto 0,75 l",
5900635210032,"1,5 L",Nałęczowianka,"1,5 L",Napoje > Woda > Woda smakowa niegazowana,"ul. Domaniewska 41 
02-672 Warszawa Nadające się do recyklingu",konserwanty - Nie zawiera,https://www.leclerc.rzeszow.pl/resize.php?pic=152/5900635210032_T1.jpg&x=500&y=400,"naturalna woda mineralna Nałęczowianka (96%)
syrop glukozowo-fruktozowy i cukier
regulator kwasowości: kwas cytrynowy
naturalny aromat truskawkowy z innymi naturalnymi aromatami
substancje słodzące: acesulfam K i sukraloza",,2.89,Leclerc Rzeszów,,"Nałęczowianka niegazowana ze smakiem truskawki Napój 1,5 l",https://www.leclerc.rzeszow.pl/naleczowianka-niegazowana-ze-smakiem-truskawki-napoj-15-l-produkt-10198.html,"Waga netto 1,5 L",
5900635200002,"1,5 L",Nałęczowianka,"1,5 L",Napoje > Woda > Woda smakowa niegazowana,"ul. Domaniewska 41 
02-672 Warszawa Nadające się do recyklingu",konserwanty - Nie zawiera,https://www.leclerc.rzeszow.pl/resize.php?pic=152/5900635200002_T1.jpg&x=500&y=400,"naturalna woda mineralna Nałęczowianka (95%)
syrop glukozowo-fruktozowy i cukier
regulator kwasowości: kwas cytrynowy
naturalny aromat jabłkowy z innymi naturalnymi aromatami
substancje słodzące: acesulfam K i sukraloza",,2.89,Leclerc Rzeszów,,"Nałęczowianka niegazowana ze smakiem jabłka Napój 1,5 l",https://www.leclerc.rzeszow.pl/naleczowianka-niegazowana-ze-smakiem-jablka-napoj-15-l-produkt-61771.html,"Waga netto 1,5 L",
5900635001227,"8 x 0,5 L",Nałęczowianka,"8 x 0,5 L","Napoje > Woda > Woda niegazowana > Pojemność do 1,5L","Nałęczowianka Naturalna woda mineralna niegazowana 8 x 0,5 l Cenne minerały, które możesz zawsze mieć przy sobie. Krystalicznie czysta Nałęczowianka nasyca się minerałami niemal 20 lat. W rezultacie zawiera ich kompozycję, którą można pić na co dzień. Szczególnie polecana aktywnym osobom, które z każdego dnia pragną wycisnąć jak najwięcej i żyć pełnią życia w każdym wieku. 
Nałęczowianka ma dodatkowo niską zawartość sodu i stanowi odpowiedni element diety. 
Miej zawsze ze sobą Nałęczowiankę. Miej w sobie pragnienie.",,https://www.leclerc.rzeszow.pl/resize.php?pic=179/158285_naleczowianka-naturalna-woda-mineralna-niegazowana-8-x-05-l_201009122925.jpg&x=500&y=400,,,11.92,Leclerc Rzeszów,"Przechowywać w suchym, chłodnym, zacienionym, wolnym od obcych zapachów miejscu. Chronić przed przemrożeniem.","Nałęczowianka Naturalna woda mineralna niegazowana 8 x 0,5 l",https://www.leclerc.rzeszow.pl/naleczowianka-naturalna-woda-mineralna-niegazowana-8-x-05-l-produkt-158285.html,"Waga netto 8 x 0,5 L",
5905256980043,"1,5 l",Jurajska,"1,5 l",Napoje > Napoje gazowane,"ul. Myszkowska 40, 
Postęp, 
42-350 Koziegłowy Orzeźwiający napój gazowany o charakterystycznym słodkim smaku z delikatną goryczką i z wyczuwalną nutą cytrusową. Wyprodukowany na bazie Naturalnej Wody Mineralnej i bez zastosowania chininy. Idealnie gazowany, dający poczucie orzeźwienia. Produkt przygotowany bez substancji konserwujących i słodzących. Znak i nazwa produktu zastrzeżone. 
 
Zawiera źródło fenyloalaniny. Nadające się do recyklingu",Substancje słodzące - Zawiera,https://www.leclerc.rzeszow.pl/resize.php?pic=134/5905256980043_T1.jpg&x=500&y=400,"naturalna woda mineralna
cukier
dwutlenek węgla
regulator kwasowości: kwas cytrynowy
aromat
substancje słodzące: cyklaminiany, sacharyny, aspartam, acesulfam K
substancja konserwująca: benzoesan sodu
zagęszczony sok cytrynowy (0,1%)
zagęszczony sok grapefruitowy (0,1%)",,2.49,Leclerc Rzeszów,,"Napój gazowany tonic jurajski z nutą cytrusową 1,5 l",https://www.leclerc.rzeszow.pl/napoj-gazowany-tonic-jurajski-z-nuta-cytrusowa-15-l-produkt-41423.html,"Waga netto 1,5 l",
5900635000060,"6 x 1,5 L",Nałęczowianka,"6 x 1,5 L","Napoje > Woda > Woda niegazowana > Pojemność powyżej 1,5L","Nałęczowianka Naturalna woda mineralna niegazowana 6 x 1,5 l Prawie 20 lat. Tyle Nałęczowianka nasyca się minerałami w trakcie swojej podróży w głębi Nałęczowa. Dzięki temu charakteryzuje się delikatnym smakiem i kompozycją minerałów, które można pić na co dzień. To szczególnie ważne dla aktywnych osób, którym woda powinna towarzyszyć w każdym momencie. I wspomagać ich organizm, by każdego dnia, bez względu na wiek, mogli pragnąć korzystać z życia i wciąż odkrywać w nim coś nowego.  
Nałęczowianka ma dodatkowo niską zawartość sodu i stanowi odpowiedni element diety. 
Miej zawsze ze sobą Nałęczowiankę. Miej w sobie pragnienie. 200 lat badania wód nałęczowskich",,https://www.leclerc.rzeszow.pl/resize.php?pic=179/30508_naleczowianka-naturalna-woda-mineralna-niegazowana-6-x-15-l_201009123841.jpg&x=500&y=400,,,12.54,Leclerc Rzeszów,"Przechowywać w suchym, chłodnym, zacienionym, wolnym od obcych zapachów miejscu. Chronić przed przemrożeniem.","Nałęczowianka Naturalna woda mineralna niegazowana 6 x 1,5 l",https://www.leclerc.rzeszow.pl/naleczowianka-naturalna-woda-mineralna-niegazowana-6-x-15-l-produkt-30508.html,"Waga netto 6 x 1,5 L",
5900635000046,"0,5 L",Nałęczowianka,"0,5 L","Napoje > Woda > Woda niegazowana > Pojemność do 1,5L","Nałęczowianka Naturalna woda mineralna niegazowana 0,5 l Cenne minerały, które możesz zawsze mieć przy sobie. Krystalicznie czysta Nałęczowianka nasyca się minerałami niemal 20 lat. W rezultacie zawiera ich kompozycję, którą można pić na co dzień. Szczególnie polecana aktywnym osobom, które z każdego dnia pragną wycisnąć jak najwięcej i żyć pełnią życia w każdym wieku.  
Nałęczowianka ma dodatkowo niską zawartość sodu i stanowi odpowiedni element diety. 
Miej zawsze ze sobą Nałęczowiankę. Miej w sobie pragnienie. Zrób to nał! Nadające się do recyklingu",,https://www.leclerc.rzeszow.pl/resize.php?pic=179/10192_naleczowianka-naturalna-woda-mineralna-niegazowana-05-l_201009122802.jpg&x=500&y=400,,,1.49,Leclerc Rzeszów,"Przechowywać w suchym, chłodnym, zacienionym, wolnym od obcych zapachów miejscu. Chronić przed przemrożeniem.","Nałęczowianka Naturalna woda mineralna niegazowana 0,5 l",https://www.leclerc.rzeszow.pl/naleczowianka-naturalna-woda-mineralna-niegazowana-05-l-produkt-10192.html,"Waga netto 0,5 L",
7613037031850,"0,33 l",,"0,33 l","Napoje > Woda > Woda niegazowana > Pojemność do 1,5L","Nałęczowianka Naturalna woda mineralna niegazowana 0,33 l Cenne minerały, które możesz zawsze mieć przy sobie. Krystalicznie czysta Nałęczowianka nasyca się minerałami niemal 20 lat. W rezultacie zawiera ich kompozycję, którą można pić na co dzień. Szczególnie polecana aktywnym osobom, które z każdego dnia pragną wycisnąć jak najwięcej i żyć pełnią życia w każdym wieku. Idealna na dobry początek dnia.  
Nałęczowianka ma dodatkowo niską zawartość sodu i stanowi odpowiedni element diety. 
Miej zawsze ze sobą Nałęczowiankę. Miej w sobie pragnienie. Pobudka! 
Wstawaj zawsze prawą sobą Nadające się do recyklingu",,https://www.leclerc.rzeszow.pl/resize.php?pic=172/7613037031850_T1.jpg&x=500&y=400,,,1.79,Leclerc Rzeszów,"Przechowywać w suchym, chłodnym, zacienionym, wolnym od obcych zapachów miejscu. Chronić przed przemrożeniem.","Nałęczowianka Naturalna woda mineralna niegazowana 0,33 l",https://www.leclerc.rzeszow.pl/naleczowianka-naturalna-woda-mineralna-niegazowana-033-l-produkt-147336.html,"Waga netto 0,33 l",
5900635001241,"8 x 0,5 L",,"8 x 0,5 L","Napoje > Woda > Woda gazowana > Pojemność do 1,5L","Nałęczowianka Naturalna woda mineralna gazowana 8 x 0,5 l Orzeźwienie i minerały miej zawsze przy sobie. Swój delikatny smak Nałęczowianka zawdzięcza niemal 20-letniej podróży, jaką odbywa w głębi Nałęczowa. To właśnie w jej trakcie nasyca się kompozycją cennych minerałów, którymi możesz sycić swój organizm na co dzień i jest szczególnie istotne dla tych osób aktywnych, spragnionych życia, którym woda powinna zawsze towarzyszyć.  
Nałęczowianka ma dodatkowo niską zawartość sodu i stanowi odpowiedni element diety. 
Miej zawsze ze sobą Nałęczowiankę. Miej w sobie pragnienie. Dodaj gazu swoim pasjom",,https://www.leclerc.rzeszow.pl/resize.php?pic=177/5900635001241_T1.jpg&x=500&y=400,,,11.92,Leclerc Rzeszów,"Przechowywać w suchym, chłodnym, zacienionym, wolnym od obcych zapachów miejscu. Chronić przed przemrożeniem.","Nałęczowianka Naturalna woda mineralna gazowana 8 x 0,5 l",https://www.leclerc.rzeszow.pl/naleczowianka-naturalna-woda-mineralna-gazowana-8-x-05-l-produkt-158284.html,"Waga netto 8 x 0,5 L",
5900541007771,500 ml,,500 ml,Napoje > Herbaty,"Żywiec Zdrój Black Tea Napój niegazowany czarna herbata brzoskwinia pomarańcza 500 ml Ice Tea to delikatna kompozycja krystalicznej wody źródlanej, naturalnego ekstraktu herbaty oraz nuty słodyczy. Ten niskokaloryczny napój bez sztucznych barwników i konserwantów to idealna propozycja dla osób poszukujących pysznego herbacianego smaku i orzeźwiającej przyjemności płynącej z owocowych nut smakowych, a jednocześnie dbających o zbilansowaną dietę. 
Żywiec Zdrój Black Tea to napój herbaciany na bazie krystalicznej wody źródlanej z ekstraktem czarnej herbaty o smaku brzoskwini i pomarańczy z dodatkiem naturalnej substancji słodzącej z liści stewii. Produkt jest niskokaloryczny, bez konserwantów i sztucznych barwników. Przeznaczony jest dla konsumentów poszukujących naturalnego smaku herbaty i orzeźwiającej przyjemności płynącej z owocowych nut smakowych. 1 porcja 250 ml dostarcza wartość energetyczna 188,0 kJ / 45,0 kcal 2% RWS* 
w 100 ml 75,2 kJ / 18,0 kcal 
 
*RWS - Referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8 400 kJ/2 000 kcal).","Barwniki - Nie zawiera
konserwanty - Nie zawiera
Substancje słodzące - Zawiera",https://www.leclerc.rzeszow.pl/resize.php?pic=172/5900541007771_T1.jpg&x=500&y=400,"naturalna woda mineralna 95%
cukier
ekstrakt czarnej herbaty 0,12%
naturalny aromat brzoskwiniowy z innymi naturalnymi aromatami
naturalny aromat pomarańczowy z innymi naturalnymi aromatami
naturalny aromat cytrusowy
naturalny aromat
przeciwutleniacz: kwas askorbinowy
regulator kwasowości: kwas cytrynowy
substancja słodząca: glikozydy stewiolowe",,2.99,Leclerc Rzeszów,,Żywiec Zdrój Black Tea Napój niegazowany czarna herbata brzoskwinia pomarańcza 500 ml,https://www.leclerc.rzeszow.pl/zywiec-zdroj-black-tea-napoj-niegazowany-czarna-herbata-brzoskwinia-pomarancza-500-ml-produkt-146992.html,Waga netto 500 ml,
